zAbs,zMes,Ka,Kb,La,Lb,Ll,Ma,Mb
H,H,0,0,0,0,0,0,0
H,He,0,0,0,0,0,0,0
H,Li,10734,0,0,0,0,0,0
H,Be,970,0,0,0,0,0,0
H,B,161,0,0,0,0,0,0
H,C,39,0,0,0,0,0,0
H,N,11,0,0,0,0,0,0
H,O,4,0,0,0,0,0,0
H,F,1,0,0,0,0,0,0
H,Ne,1,0,0,0,0,0,0
H,Na,0,0,0,0,17817,0,0
H,Mg,0,0,0,0,4087,0,0
H,Al,0,0,0,0,1180,0,0
H,Si,0,0,0,0,548,0,0
H,P,0,0,0,0,253,0,0
H,S,0,0,80,78,106,0,0
H,Cl,0,0,0,0,50,0,0
H,Ar,0,0,0,0,25,0,0
H,K,0,0,10,10,15,0,0
H,Ca,0,0,6,6,9,0,0
H,Sc,0,0,3,3,5,0,0
H,Ti,0,0,2,2,3,0,0
H,V,0,0,1,1,2,0,0
H,Cr,0,0,1,1,1,0,0
H,Mn,0,0,1,1,1,0,0
H,Fe,0,0,0,0,1,0,0
H,Co,0,0,0,0,0,0,0
H,Ni,0,0,0,0,0,0,0
H,Cu,0,0,0,0,0,0,0
H,Zn,0,0,0,0,0,0,0
H,Ga,0,0,0,0,0,0,0
H,Ge,0,0,0,0,0,0,0
H,As,0,0,0,0,0,0,0
H,Se,0,0,0,0,0,0,0
H,Br,0,0,0,0,0,0,0
H,Kr,0,0,0,0,0,0,0
H,Rb,0,0,0,0,0,0,0
H,Sr,0,0,0,0,0,0,0
H,Y,0,0,0,0,0,0,0
H,Zr,0,0,0,0,0,0,0
H,Nb,0,0,0,0,0,0,0
H,Mo,0,0,0,0,0,0,0
H,Tc,0,0,0,0,0,0,0
H,Ru,0,0,0,0,0,0,0
H,Rh,0,0,0,0,0,0,0
H,Pd,0,0,0,0,0,0,0
H,Ag,0,0,0,0,0,0,0
H,Cd,0,0,0,0,0,0,0
H,In,0,0,0,0,0,0,0
H,Sn,0,0,0,0,0,0,0
H,Sb,0,0,0,0,0,0,0
H,Te,0,0,0,0,0,0,0
H,I,0,0,0,0,0,0,0
H,Xe,0,0,0,0,0,0,0
H,Cs,0,0,0,0,0,0,0
H,Ba,0,0,0,0,0,0,0
H,La,0,0,0,0,0,0,0
H,Ce,0,0,0,0,0,0,0
H,Pr,0,0,0,0,0,0,0
H,Nd,0,0,0,0,0,0,0
H,Pm,0,0,0,0,0,0,0
H,Sm,0,0,0,0,0,0,0
H,Eu,0,0,0,0,0,0,0
H,Gd,0,0,0,0,0,0,0
H,Tb,0,0,0,0,0,0,0
H,Dy,0,0,0,0,0,0,0
H,Ho,0,0,0,0,0,0,0
H,Er,0,0,0,0,0,0,0
H,Tm,0,0,0,0,0,0,0
H,Yb,0,0,0,0,0,0,0
H,Lu,0,0,0,0,0,0,0
H,Hf,0,0,0,0,0,0,0
H,Ta,0,0,0,0,0,0,0
H,W,0,0,0,0,0,0,0
H,Re,0,0,0,0,0,0,0
H,Os,0,0,0,0,0,0,0
H,Ir,0,0,0,0,0,0,0
H,Pt,0,0,0,0,0,0,0
H,Au,0,0,0,0,0,0,0
H,Hg,0,0,0,0,0,0,0
H,Tl,0,0,0,0,0,0,0
H,Pb,0,0,0,0,0,0,0
H,Bi,0,0,0,0,0,0,0
H,Po,0,0,0,0,0,0,0
H,At,0,0,0,0,0,0,0
H,Rn,0,0,0,0,0,0,0
H,Fr,0,0,0,0,0,0,0
H,Ra,0,0,0,0,0,0,0
H,Ac,0,0,0,0,0,0,0
H,Th,0,0,0,0,0,0,0
H,Pa,0,0,0,0,0,0,0
H,U,0,0,0,0,0,0,0
He,H,0,0,0,0,0,0,0
He,He,0,0,0,0,0,0,0
He,Li,152887,0,0,0,0,0,0
He,Be,22451,0,0,0,0,0,0
He,B,4272,0,0,0,0,0,0
He,C,1107,0,0,0,0,0,0
He,N,326,0,0,0,0,0,0
He,O,114,0,0,0,0,0,0
He,F,42,0,0,0,0,0,0
He,Ne,20,0,0,0,0,0,0
He,Na,9,0,0,0,142111,0,0
He,Mg,5,4,0,0,52941,0,0
He,Al,2,2,0,0,20507,0,0
He,Si,1,1,0,0,11434,0,0
He,P,1,1,0,0,5937,0,0
He,S,0,0,2029,1988,2666,0,0
He,Cl,0,0,0,0,1319,0,0
He,Ar,0,0,0,0,684,0,0
He,K,0,0,302,294,427,0,0
He,Ca,0,0,176,170,254,0,0
He,Sc,0,0,99,95,147,0,0
He,Ti,0,0,61,59,93,0,0
He,V,0,0,39,37,60,0,0
He,Cr,0,0,27,25,41,0,0
He,Mn,0,0,18,17,28,0,0
He,Fe,0,0,13,12,20,0,0
He,Co,0,0,9,8,14,0,0
He,Ni,0,0,7,6,10,0,0
He,Cu,0,0,5,4,7,0,0
He,Zn,0,0,3,3,5,0,0
He,Ga,0,0,3,2,4,0,0
He,Ge,0,0,2,2,3,0,0
He,As,0,0,1,1,2,0,0
He,Se,0,0,1,1,2,0,0
He,Br,0,0,1,1,1,0,0
He,Kr,0,0,1,1,1,0,0
He,Rb,0,0,1,0,1,0,0
He,Sr,0,0,0,0,1,0,0
He,Y,0,0,0,0,0,0,0
He,Zr,0,0,0,0,0,0,0
He,Nb,0,0,0,0,0,0,0
He,Mo,0,0,0,0,0,0,0
