zAbs,zMes,Ka,Kb,La,Lb,Ll,Ma,Mb
H,H,0,0,0,0,0,0,0
H,He,0,0,0,0,0,0,0
H,Li,0,0,0,0,0,0,0
H,Be,11016,0,0,0,0,0,0
H,B,1723,0,0,0,0,0,0
H,C,474,0,0,0,0,0,0
H,N,157,0,0,0,0,0,0
H,O,61,0,0,0,0,0,0
H,F,26,0,0,0,0,0,0
H,Ne,12,0,0,0,0,0,0
H,Na,6,6,0,0,0,0,0
H,Mg,3,3,0,0,0,0,0
H,Al,2,2,0,0,0,0,0
H,Si,1,1,0,0,0,0,0
H,P,1,1,0,0,0,0,0
H,S,0,0,0,0,0,0,0
H,Cl,0,0,0,0,0,0,0
H,Ar,0,0,0,0,0,0,0
H,K,0,0,0,0,0,0,0
H,Ca,0,0,245,245,0,0,0
H,Sc,0,0,153,147,0,0,0
H,Ti,0,0,99,95,0,0,0
H,V,0,0,66,63,0,0,0
H,Cr,0,0,46,43,0,0,0
H,Mn,0,0,32,30,0,0,0
H,Fe,0,0,23,21,0,0,0
H,Co,0,0,17,16,0,0,0
H,Ni,0,0,12,11,0,0,0
H,Cu,0,0,9,8,0,0,0
H,Zn,0,0,7,6,0,0,0
H,Ga,0,0,5,5,0,0,0
H,Ge,0,0,4,4,0,0,0
H,As,0,0,3,3,0,0,0
H,Se,0,0,2,2,0,0,0
H,Br,0,0,2,2,0,0,0
H,Kr,0,0,2,1,0,0,0
H,Rb,0,0,1,1,0,0,0
H,Sr,0,0,1,1,0,0,0
H,Y,0,0,1,1,0,0,0
H,Zr,0,0,1,1,0,0,0
H,Nb,0,0,1,0,0,0,0
H,Mo,0,0,0,0,0,0,0
H,Tc,0,0,0,0,0,0,0
H,Ru,0,0,0,0,0,0,0
H,Rh,0,0,0,0,0,0,0
H,Pd,0,0,0,0,0,0,0
H,Ag,0,0,0,0,0,0,0
H,Cd,0,0,0,0,0,0,0
H,In,0,0,0,0,0,0,0
H,Sn,0,0,0,0,0,0,0
H,Sb,0,0,0,0,0,0,0
H,Te,0,0,0,0,0,0,0
H,I,0,0,0,0,0,0,0
H,Xe,0,0,0,0,0,0,0
H,Cs,0,0,0,0,0,0,0
H,Ba,0,0,0,0,0,0,0
H,La,0,0,0,0,0,13,12
H,Ce,0,0,0,0,0,11,10
H,Pr,0,0,0,0,0,9,8
H,Nd,0,0,0,0,0,8,7
H,Pm,0,0,0,0,0,0,0
H,Sm,0,0,0,0,0,5,5
H,Eu,0,0,0,0,0,5,4
H,Gd,0,0,0,0,0,4,4
H,Tb,0,0,0,0,0,3,3
H,Dy,0,0,0,0,0,3,3
H,Ho,0,0,0,0,0,3,2
H,Er,0,0,0,0,0,2,2
H,Tm,0,0,0,0,0,2,2
H,Yb,0,0,0,0,0,2,2
H,Lu,0,0,0,0,0,2,1
H,Hf,0,0,0,0,0,1,1
H,Ta,0,0,0,0,0,1,1
H,W,0,0,0,0,0,1,1
H,Re,0,0,0,0,0,1,1
H,Os,0,0,0,0,0,1,1
H,Ir,0,0,0,0,0,1,1
H,Pt,0,0,0,0,0,1,1
H,Au,0,0,0,0,0,1,1
H,Hg,0,0,0,0,0,1,0
H,Tl,0,0,0,0,0,0,0
H,Pb,0,0,0,0,0,0,0
H,Bi,0,0,0,0,0,0,0
H,Po,0,0,0,0,0,0,0
H,At,0,0,0,0,0,0,0
H,Rn,0,0,0,0,0,0,0
H,Fr,0,0,0,0,0,0,0
H,Ra,0,0,0,0,0,0,0
H,Ac,0,0,0,0,0,0,0
H,Th,0,0,0,0,0,0,0
H,Pa,0,0,0,0,0,0,0
H,U,0,0,0,0,0,0,0
He,H,0,0,0,0,0,0,0
He,He,0,0,0,0,0,0,0
He,Li,0,0,0,0,0,0,0
He,Be,61461,0,0,0,0,0,0
He,B,10677,0,0,0,0,0,0
He,C,3190,0,0,0,0,0,0
He,N,1136,0,0,0,0,0,0
He,O,466,0,0,0,0,0,0
He,F,210,0,0,0,0,0,0
He,Ne,102,0,0,0,0,0,0
He,Na,52,48,0,0,0,0,0
He,Mg,28,25,0,0,0,0,0
He,Al,16,14,0,0,0,0,0
He,Si,10,8,0,0,0,0,0
He,P,6,5,0,0,0,0,0
He,S,4,3,0,0,0,0,0
He,Cl,2,2,0,0,0,0,0
He,Ar,2,1,0,0,0,0,0
He,K,1,1,0,0,0,0,0
He,Ca,1,1,1724,1724,0,0,0
He,Sc,1,0,1110,1069,0,0,0
He,Ti,0,0,738,708,0,0,0
He,V,0,0,506,483,0,0,0
He,Cr,0,0,355,336,0,0,0
He,Mn,0,0,255,240,0,0,0
He,Fe,0,0,185,174,0,0,0
He,Co,0,0,136,128,0,0,0
He,Ni,0,0,101,94,0,0,0
He,Cu,0,0,76,71,0,0,0
He,Zn,0,0,58,53,0,0,0
He,Ga,0,0,44,41,0,0,0
He,Ge,0,0,34,31,0,0,0
He,As,0,0,26,24,0,0,0
He,Se,0,0,21,19,0,0,0
He,Br,0,0,16,15,0,0,0
He,Kr,0,0,13,12,0,0,0
He,Rb,0,0,10,9,0,0,0
He,Sr,0,0,8,7,0,0,0
He,Y,0,0,7,6,0,0,0
He,Zr,0,0,6,5,0,0,0
He,Nb,0,0,5,4,0,0,0
He,Mo,0,0,4,3,0,0,0
He,Tc,0,0,3,3,0,0,0
